Day,Time,Max Meetings
M,24,4.0
M,25,4.0
M,26,4.0
M,27,1.0
M,28,1.0
M,29,4.0
M,30,4.0
M,31,4.0
M,32,4.0
M,33,1.0
M,34,4.0
M,35,4.0
M,36,4.0
M,37,4.0
M,38,4.0
M,39,4.0
M,40,4.0
M,41,4.0
M,42,4.0
M,43,4.0
M,44,4.0
M,45,4.0
M,46,4.0
M,47,4.0
M,48,4.0
M,49,4.0
M,50,4.0
M,51,4.0
M,52,0.0
M,53,4.0
M,54,4.0
M,55,4.0
M,56,4.0
M,57,4.0
T,24,4.0
T,25,4.0
T,26,4.0
T,27,0.0
T,28,2.0
T,29,4.0
T,30,4.0
T,31,4.0
T,32,4.0
T,33,1.0
T,34,4.0
T,35,4.0
T,36,4.0
T,37,4.0
T,38,4.0
T,39,4.0
T,40,4.0
T,41,4.0
T,42,4.0
T,43,4.0
T,44,4.0
T,45,4.0
T,46,4.0
T,47,4.0
T,48,4.0
T,49,3.0
T,50,4.0
T,51,4.0
T,52,0.0
T,53,4.0
T,54,4.0
T,55,4.0
T,56,4.0
T,57,4.0
W,24,4.0
W,25,4.0
W,26,4.0
W,27,1.0
W,28,2.0
W,29,4.0
W,30,4.0
W,31,4.0
W,32,4.0
W,33,1.0
W,34,4.0
W,35,4.0
W,36,4.0
W,37,4.0
W,38,4.0
W,39,4.0
W,40,4.0
W,41,4.0
W,42,4.0
W,43,4.0
W,44,4.0
W,45,4.0
W,46,4.0
W,47,4.0
W,48,4.0
W,49,4.0
W,50,4.0
W,51,4.0
W,52,0.0
W,53,4.0
W,54,4.0
W,55,4.0
W,56,4.0
W,57,4.0
Th,24,4.0
Th,25,4.0
Th,26,4.0
Th,27,0.0
Th,28,1.0
Th,29,4.0
Th,30,4.0
Th,31,4.0
Th,32,4.0
Th,33,1.0
Th,34,4.0
Th,35,4.0
Th,36,4.0
Th,37,4.0
Th,38,4.0
Th,39,4.0
Th,40,4.0
Th,41,4.0
Th,42,4.0
Th,43,4.0
Th,44,4.0
Th,45,4.0
Th,46,4.0
Th,47,4.0
Th,48,4.0
Th,49,3.0
Th,50,4.0
Th,51,4.0
Th,52,0.0
Th,53,4.0
Th,54,4.0
Th,55,4.0
Th,56,4.0
Th,57,4.0
F,24,4.0
F,25,4.0
F,26,4.0
F,27,1.0
F,28,1.0
F,29,4.0
F,30,4.0
F,31,4.0
F,32,4.0
F,33,1.0
F,34,4.0
F,35,4.0
F,36,4.0
F,37,4.0
F,38,4.0
F,39,4.0
F,40,4.0
F,41,4.0
F,42,4.0
F,43,4.0
F,44,4.0
F,45,4.0
F,46,4.0
F,47,4.0
F,48,4.0
F,49,4.0
F,50,4.0
F,51,4.0
F,52,0.0
F,53,4.0
F,54,4.0
F,55,4.0
F,56,4.0
F,57,4.0
